2025-06-24 13:25:37.891916|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-06-24 13:25:37.892421|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (26100) x64 (AMD or Intel) Binary: 64bit
2025-06-24 13:25:37.892421|INFO    |ServerLibPriv |   |Using hardware aes
2025-06-24 13:25:37.893494|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2025-06-24 13:25:37.893494|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2025-06-24 13:25:37.894027|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2025-06-24 13:25:37.901943|INFO    |SQL           |   |db_CreateTables() tables created
2025-06-24 13:25:37.923776|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-06-24 13:25:37.930823|INFO    |Accounting    |   |Licensing Information
2025-06-24 13:25:37.930823|INFO    |Accounting    |   |licensed to       : Anonymous
2025-06-24 13:25:37.930823|INFO    |Accounting    |   |type              : No License
2025-06-24 13:25:37.930823|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-06-24 13:25:37.930823|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-06-24 13:25:37.930823|INFO    |Accounting    |   |max virtualservers: 1
2025-06-24 13:25:37.930823|INFO    |Accounting    |   |max slots         : 32
2025-06-24 13:25:38.498206|INFO    |              |   |Puzzle precompute time: 557
2025-06-24 13:25:38.500095|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-06-24 13:25:38.500626|INFO    |VirtualSvrMgr |   |executing monthly interval
2025-06-24 13:25:38.501160|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2025-06-24 13:25:38.536218|INFO    |Query         |   |Using a query thread pool size of 2
2025-06-24 13:25:38.548290|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-06-24 13:25:38.548290|INFO    |              |   |creating QUERY_SSH_RSA_HOST_KEY file: ssh_host_rsa_key
2025-06-24 13:25:38.753721|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-06-24 13:25:43.063305|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2025-06-24 13:25:43.063305|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2025-06-24 13:25:43.072389|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
